tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
s__Holophaga_foetida,g__Holophaga,rank_6,s__Holophaga_foetida,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__Holophaga_foetida
c__Thermoanaerobaculia,p__Acidobacteria,rank_2,c__Thermoanaerobaculia,Root,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,,,,
o__Thermoanaerobaculales,c__Thermoanaerobaculia,rank_3,o__Thermoanaerobaculales,Root,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,,,
f__Thermoanaerobaculaceae,o__Thermoanaerobaculales,rank_4,f__Thermoanaerobaculaceae,Root,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,,
g__Thermoanaerobaculum,f__Thermoanaerobaculaceae,rank_5,g__Thermoanaerobaculum,Root,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Thermoanaerobaculum,
s__Thermoanaerobaculum_aquaticum,g__Thermoanaerobaculum,rank_6,s__Thermoanaerobaculum_aquaticum,Root,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Thermoanaerobaculum,s__Thermoanaerobaculum_aquaticum
p__Actinobacteria,d__Bacteria,rank_1,p__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,,,,,
c__Acidimicrobiia,p__Actinobacteria,rank_2,c__Acidimicrobiia,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,,,,
o__Acidimicrobiales,c__Acidimicrobiia,rank_3,o__Acidimicrobiales,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,,,
f__Acidimicrobiaceae,o__Acidimicrobiales,rank_4,f__Acidimicrobiaceae,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,,
g__Acidimicrobium,f__Acidimicrobiaceae,rank_5,g__Acidimicrobium,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidimicrobium,
s__Acidimicrobium_ferrooxidans,g__Acidimicrobium,rank_6,s__Acidimicrobium_ferrooxidans,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidimicrobium,s__Acidimicrobium_ferrooxidans
s__Acidimicrobium_sp.,g__Acidimicrobium,rank_6,s__Acidimicrobium_sp.,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidimicrobium,s__Acidimicrobium_sp.
s__Acidimicrobium_sp._BACL17_MAG-120924-bin0,g__Acidimicrobium,rank_6,s__Acidimicrobium_sp._BACL17_MAG-120924-bin0,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidimicrobium,s__Acidimicrobium_sp._BACL17_MAG-120924-bin0
g__Acidithrix,f__Acidimicrobiaceae,rank_5,g__Acidithrix,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidithrix,
s__Acidithrix_ferrooxidans,g__Acidithrix,rank_6,s__Acidithrix_ferrooxidans,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidithrix,s__Acidithrix_ferrooxidans
g__Ferrimicrobium,f__Acidimicrobiaceae,rank_5,g__Ferrimicrobium,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Ferrimicrobium,
s__Ferrimicrobium_acidiphilum,g__Ferrimicrobium,rank_6,s__Ferrimicrobium_acidiphilum,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Ferrimicrobium,s__Ferrimicrobium_acidiphilum
g__Ferrithrix,f__Acidimicrobiaceae,rank_5,g__Ferrithrix,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Ferrithrix,
s__Ferrithrix_thermotolerans,g__Ferrithrix,rank_6,s__Ferrithrix_thermotolerans,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Ferrithrix,s__Ferrithrix_thermotolerans
f__Ilumatobacteraceae,o__Acidimicrobiales,rank_4,f__Ilumatobacteraceae,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,,
g__Ilumatobacter,f__Ilumatobacteraceae,rank_5,g__Ilumatobacter,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Ilumatobacter,
s__Ilumatobacter_coccineus,g__Ilumatobacter,rank_6,s__Ilumatobacter_coccineus,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter_coccineus
f__Microthrixaceae,o__Acidimicrobiales,rank_4,f__Microthrixaceae,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Microthrixaceae,,
