tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
g__Parachlamydia,f__Parachlamydiaceae,rank_6,g__Parachlamydia,Root,r__Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Parachlamydiaceae,g__Parachlamydia,
s__Parachlamydia_acanthamoebae,g__Parachlamydia,rank_7,s__Parachlamydia_acanthamoebae,Root,r__Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Parachlamydiaceae,g__Parachlamydia,s__Parachlamydia_acanthamoebae
f__Simkaniaceae,o__Parachlamydiales,rank_5,f__Simkaniaceae,Root,r__Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Simkaniaceae,,
g__Simkania,f__Simkaniaceae,rank_6,g__Simkania,Root,r__Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Simkaniaceae,g__Simkania,
s__Simkania_negevensis,g__Simkania,rank_7,s__Simkania_negevensis,Root,r__Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Simkaniaceae,g__Simkania,s__Simkania_negevensis
p__Chlorobi,d__Bacteria,rank_2,p__Chlorobi,Root,r__Root,d__Bacteria,p__Chlorobi,,,,,
c__Chlorobia,p__Chlorobi,rank_3,c__Chlorobia,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,,,,
o__Chlorobiales,c__Chlorobia,rank_4,o__Chlorobiales,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,,,
f__Chlorobiaceae,o__Chlorobiales,rank_5,f__Chlorobiaceae,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,,
g__Chlorobaculum,f__Chlorobiaceae,rank_6,g__Chlorobaculum,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobaculum,
