tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
g__Metallosphaera,f__Sulfolobaceae,rank_6,g__Metallosphaera,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Metallosphaera,
s__Metallosphaera_sedula,g__Metallosphaera,rank_7,s__Metallosphaera_sedula,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Metallosphaera,s__Metallosphaera_sedula
g__Sulfolobus,f__Sulfolobaceae,rank_6,g__Sulfolobus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,
s__Sulfolobus_acidocaldarius,g__Sulfolobus,rank_7,s__Sulfolobus_acidocaldarius,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_acidocaldarius
s__Sulfolobus_islandicus,g__Sulfolobus,rank_7,s__Sulfolobus_islandicus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
g__Sulfurisphaera,f__Sulfolobaceae,rank_6,g__Sulfurisphaera,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfurisphaera,
s__Sulfurisphaera_tokodaii,g__Sulfurisphaera,rank_7,s__Sulfurisphaera_tokodaii,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfurisphaera,s__Sulfurisphaera_tokodaii
o__Thermoproteales,c__Thermoprotei,rank_4,o__Thermoproteales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,,,
f__Thermoproteaceae,o__Thermoproteales,rank_5,f__Thermoproteaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,,
g__Pyrobaculum,f__Thermoproteaceae,rank_6,g__Pyrobaculum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,
s__Pyrobaculum_aerophilum,g__Pyrobaculum,rank_7,s__Pyrobaculum_aerophilum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum_aerophilum
s__Pyrobaculum_arsenaticum,g__Pyrobaculum,rank_7,s__Pyrobaculum_arsenaticum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum_arsenaticum
s__Pyrobaculum_calidifontis,g__Pyrobaculum,rank_7,s__Pyrobaculum_calidifontis,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum_calidifontis
s__Pyrobaculum_neutrophilum,g__Pyrobaculum,rank_7,s__Pyrobaculum_neutrophilum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum_neutrophilum
p__Euryarchaeota,d__Archaea,rank_2,p__Euryarchaeota,Root,r__Root,d__Archaea,p__Euryarchaeota,,,,,
c__Archaeoglobi,p__Euryarchaeota,rank_3,c__Archaeoglobi,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,,,,
o__Archaeoglobales,c__Archaeoglobi,rank_4,o__Archaeoglobales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,,,
f__Archaeoglobaceae,o__Archaeoglobales,rank_5,f__Archaeoglobaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,,
g__Archaeoglobus,f__Archaeoglobaceae,rank_6,g__Archaeoglobus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,
s__Archaeoglobus_fulgidus,g__Archaeoglobus,rank_7,s__Archaeoglobus_fulgidus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_fulgidus
c__Halobacteria,p__Euryarchaeota,rank_3,c__Halobacteria,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,,,,
o__Halobacteriales,c__Halobacteria,rank_4,o__Halobacteriales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,,,
f__Halobacteriaceae,o__Halobacteriales,rank_5,f__Halobacteriaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,,
g__Halobacterium,f__Halobacteriaceae,rank_6,g__Halobacterium,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,
s__Halobacterium_salinarum,g__Halobacterium,rank_7,s__Halobacterium_salinarum,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium_salinarum
o__Haloferacales,c__Halobacteria,rank_4,o__Haloferacales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,,,
f__Haloferacaceae,o__Haloferacales,rank_5,f__Haloferacaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,,
g__Haloferax,f__Haloferacaceae,rank_6,g__Haloferax,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloferax,
s__Haloferax_volcanii,g__Haloferax,rank_7,s__Haloferax_volcanii,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloferax,s__Haloferax_volcanii
g__Haloquadratum,f__Haloferacaceae,rank_6,g__Haloquadratum,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloquadratum,
